decisionGeneration;totalSimulationHours;animalType;animalId;fitness;hp;hunger;thirst;hungerWeight;thirstWeight;fearWeight;hideSeekingWeight;riskTolerance;explorationWeight;speed;maxStamina;currentStamina;sightRange;tempResist;hungerDecreasingSpeed;thirstDecreasingSpeed;breedingCooldownMultiplyer;fertility;swimAbility;eatNeed;fatSave;childrenCount;timeAliveInGeneration;timeSpentHiding;timesEnteredShelter;predatorEncounters;totalFoodForPrey;totalFoodForPredator
53;55,9624;Prey;9;277,9468;100,0000;0,9659;0,2763;0,0000;0,0000;0,2004;0,7410;0,0240;0,0000;4,1672;1,3651;1,3651;7;2,3777;0,6630;0,5769;1,1055;6,0000;0,4883;0,3568;0,5842;6;12,6553;0,0000;0;0;342;54
54;56,9819;Prey;69;99,1286;100,0000;0,7583;0,8444;0,0000;0,0039;0,1961;0,7420;0,0249;0,5450;3,1016;0,9305;0,9305;5;2,0421;0,6464;0,6634;0,6355;6,0293;0,5341;0,4137;0,6324;0;12,7439;0,0000;0;0;342;53
55;58,0032;Prey;69;99,2572;100,0000;0,9754;0,8162;0,0000;0,0039;0,1961;0,7420;0,0249;0,5450;3,1016;0,9305;0,9305;5;2,0421;0,6464;0,6634;0,6355;6,0293;0,5341;0,4137;0,6324;0;12,7655;0,0000;0;0;340;51
56;59,0273;Prey;69;99,2468;100,0000;0,9255;0,7878;0,0000;0,0039;0,1961;0,7420;0,0249;0,5450;3,1016;0,9305;0,9305;5;2,0421;0,6464;0,6634;0,6355;6,0293;0,5341;0,4137;0,6324;0;12,8017;0,0000;0;0;339;51
57;60,0619;Prey;69;99,2458;100,0000;0,8771;0,7592;0,0000;0,0039;0,1961;0,7420;0,0249;0,5450;3,1016;0,9305;0,4515;5;2,0421;0,6464;0,6634;0,6355;6,0293;0,5341;0,4137;0,6324;0;12,9320;0,0000;0;0;338;51
58;61,0668;Prey;69;99,2065;100,0000;0,8294;0,7315;0,0000;0,0039;0,1961;0,7420;0,0249;0,5450;3,1016;0,9305;0,6100;5;2,0421;0,6464;0,6634;0,6355;6,0293;0,5341;0,4137;0,6324;0;12,5611;0,0000;0;0;338;51
59;62,0777;Prey;69;99,2916;100,0000;0,7809;0,7035;0,0000;0,0039;0,1961;0,7420;0,0249;0,5450;3,1016;0,9305;0,4489;5;2,0421;0,6464;0,6634;0,6355;6,0293;0,5341;0,4137;0,6324;0;12,6366;0,0000;0;0;338;50
60;63,1122;Prey;69;99,3773;100,0000;0,7335;0,6749;0,0000;0,0039;0,1961;0,7420;0,0249;0,5450;3,1016;0,9305;0,9305;5;2,0421;0,6464;0,6634;0,6355;6,0293;0,5341;0,4137;0,6324;0;12,9317;0,0000;0;0;336;49
61;64,1302;Prey;62;99,7505;100,0000;0,9752;0,7061;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,7254;0,0000;0;0;334;49
62;65,1454;Prey;62;99,8551;100,0000;0,9350;0,6779;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,6900;0,0000;0;0;331;47
63;66,1576;Prey;62;99,9245;100,0000;0,8928;0,6497;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,6513;0,0000;0;0;331;46
64;67,1700;Prey;62;100,0704;100,0000;0,8509;0,6215;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,6557;0,0000;0;0;330;44
65;68,1706;Prey;62;100,1390;100,0000;0,8113;0,5936;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,5076;0,0000;0;0;330;43
66;69,1737;Prey;62;100,1420;100,0000;0,7695;0,5657;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,5382;0,0000;0;0;330;43
67;70,1949;Prey;62;100,1536;100,0000;0,7282;0,5373;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,7648;0,0000;0;0;329;43
68;71,2071;Prey;62;100,1953;100,0000;0,6898;0,5091;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,6527;0,0000;0;0;326;42
69;72,2293;Prey;62;100,5665;100,0000;0,6515;0,4806;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,7779;0,0000;0;0;349;41
70;73,2481;Prey;62;100,6639;100,0000;0,6106;0,4522;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,7348;0,0000;0;0;349;40
71;74,2854;Prey;62;101,0124;100,0000;0,5698;0,4234;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,9669;0,0000;0;0;348;37
72;75,3004;Prey;62;101,0695;100,0000;0,5298;0,3951;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,6873;0,0000;0;0;345;36
73;76,3357;Prey;62;101,1985;100,0000;0,4893;0,3663;0,0000;0,0000;0,0162;0,6572;0,0146;0,2696;2,3981;0,9561;0,9561;6;2,9122;0,5000;0,6683;0,9119;5,3735;0,6063;0,3998;0,5495;0;12,9410;0,0000;0;0;343;35
74;77,3590;Prey;33;101,2791;100,0000;0,3959;0,3118;0,0000;0,0000;0,0000;0,6934;0,0058;0,2253;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;12,7914;0,0000;0;0;343;34
75;78,3821;Prey;33;101,2788;100,0000;0,3508;0,9891;0,0000;0,0000;0,0000;0,6934;0,0058;0,2253;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;12,7877;0,0000;0;0;343;34
76;79,4133;Prey;33;101,2891;100,0000;0,3063;0,9593;0,0000;0,0000;0,0000;0,6934;0,0058;0,2253;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;12,8911;0,0000;0;0;341;33
77;80,4311;Prey;33;101,2722;100,0000;0,2624;0,9298;0,0000;0,0000;0,0000;0,6934;0,0058;0,2253;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;12,7218;0,0000;0;0;341;30
78;81,4356;Prey;1;101,2556;100,0000;0,9929;0,7429;0,0000;0,0000;0,1570;0,5243;0,1329;0,9218;3,0090;2,4330;2,4330;10;2,6539;0,7125;0,9783;1,1245;7,0000;0,5632;0,4940;0,7924;0;12,5561;0,0000;0;0;339;29
79;82,4474;Prey;1;101,2648;100,0000;0,9289;0,7016;0,0000;0,0000;0,1570;0,5243;0,1329;0,9218;3,0090;2,4330;2,4330;10;2,6539;0,7125;0,9783;1,1245;7,0000;0,5632;0,4940;0,7924;0;12,6483;0,0000;0;0;337;29
80;83,4517;Prey;1;101,2552;100,0000;0,8722;0,6607;0,0000;0,0000;0,1570;0,5243;0,1329;0,9218;3,0090;2,4330;2,4330;10;2,6539;0,7125;0,9783;1,1245;7,0000;0,5632;0,4940;0,7924;0;12,5523;0,0000;0;0;335;27
81;84,4586;Prey;1;101,2586;100,0000;0,8107;0,6196;0,0000;0,0000;0,1570;0,5243;0,1329;0,9218;3,0090;2,4330;2,4330;10;2,6539;0,7125;0,9783;1,1245;7,0000;0,5632;0,4940;0,7924;0;12,5864;0,0000;0;0;334;27
82;85,4934;Prey;0;101,2936;100,0000;0,6484;0,5159;0,0000;0,0000;0,0892;0,6779;0,0021;0,5266;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,9358;0,0000;0;0;334;26
83;86,5143;Prey;0;101,2761;100,0000;0,5944;0,4839;0,0000;0,0000;0,0892;0,6779;0,0021;0,5266;3,1924;2,1416;2,1416;7;4,3589;0,6497;0,7510;1,1861;4,0000;0,4847;0,3206;0,8481;0;12,7611;0,0000;0;0;332;26
