decisionGeneration;totalSimulationHours;animalType;animalId;fitness;hp;hunger;thirst;hungerWeight;thirstWeight;aggressionWeight;timeFollowingWeight;speed;maxStamina;currentStamina;sightRange;tempResist;hungerDecreasingSpeed;thirstDecreasingSpeed;breedingCooldownMultiplyer;fertility;swimAbility;eatNeed;fatSave;childrenCount;timeAliveInGeneration;successfulHunts;abandonedChases;timeSpentFollowing;totalFoodForPrey;totalFoodForPredator
97;100,8700;Predator;14;114,5370;100,0000;0,9388;0,7556;0,0000;0,0290;0,0450;0,8232;4,3832;2,5178;2,5178;6;0,2812;0,9217;0,5000;1,0722;1,5648;0,6736;0,4851;0,9186;0;13,4901;1;0;2,5689;330;35
98;101,9460;Predator;22;93,8094;100,0000;0,1380;0,7871;0,0000;0,0984;0,1108;0,7794;2,6105;1,8849;1,8849;6;2,8191;0,9062;0,6757;0,9114;1,9768;0,2311;0,3354;0,7745;0;13,4496;0;0;0,0000;329;35
99;103,0512;Predator;22;93,5000;100,0000;0,0627;0,7560;0,0000;0,0984;0,1108;0,7794;2,6105;1,8849;1,8849;6;2,8191;0,9062;0,6757;0,9114;1,9768;0,2311;0,3354;0,7745;0;13,8148;0;0;0,0000;326;34
100;104,0620;Predator;15;105,4446;98,6754;0,9584;0,4702;0,4366;1,0000;0,1351;0,9464;2,2689;2,1276;0,5954;6;2,1204;0,9499;0,8571;0,9694;2,4674;0,5127;0,5640;0,8609;0;12,6354;1;0;4,0494;325;38
101;105,1602;Predator;14;92,6297;100,0000;0,6578;0,6662;0,0000;0,0290;0,0450;0,8232;4,3832;2,5178;2,5178;6;0,2812;0,9217;0,5000;1,0722;1,5648;0,6736;0,4851;0,9186;0;13,7277;0;0;0,0000;323;36
102;106,1845;Predator;14;92,5248;100,0000;0,5870;0,6449;0,0000;0,0290;0,0450;0,8232;4,3832;2,5178;2,5178;6;0,2812;0,9217;0,5000;1,0722;1,5648;0,6736;0,4851;0,9186;0;12,8029;0;0;0,0000;322;36
103;107,1858;Predator;14;92,8685;100,0000;0,5156;0,6240;0,0000;0,0290;0,0450;0,8232;4,3832;2,5178;2,5178;6;0,2812;0,9217;0,5000;1,0722;1,5648;0,6736;0,4851;0,9186;0;12,5159;0;0;0,0000;322;35
104;108,2985;Predator;8;109,6110;87,7560;0,9473;0,7600;0,0000;0,0000;0,1733;0,8584;3,0840;1,9290;1,2192;9;2,6605;0,6349;0,8488;0,6334;2,0000;0,4934;0,4867;0,7140;0;13,9091;1;0;0,0000;322;34
105;109,3169;Predator;14;93,2938;100,0000;0,3601;0,5796;0,0000;0,0290;0,0450;0,8232;4,3832;2,5178;2,5178;6;0,2812;0,9217;0,5000;1,0722;1,5648;0,6736;0,4851;0,9186;0;12,7301;0;0;0,0000;320;34
106;110,3953;Predator;14;98,1158;100,0000;0,2777;0,5572;0,0000;0,0290;0,0450;0,8232;4,3832;2,5178;2,5178;6;0,2812;0,9217;0,5000;1,0722;1,5648;0,6736;0,4851;0,9186;0;13,4802;0;0;0,0000;320;34
